ensembl_gene_id,symbol,logFC,t,P.Value
ENSG00000005882,PDK2,-0.019521087,-0.094723865,0.925071878
ENSG00000005884,ITGA3,-2.967435995,-2.499657301,0.017245886
ENSG00000005889,ZFX,0.181774008,0.82174139,0.416761037
ENSG00000005893,LAMP2,0.643819126,2.050892321,0.047786823
ENSG00000005961,ITGA2B,0.352665109,0.277325002,0.783154427
ENSG00000006007,GDE1,0.492217568,1.825423406,0.076440235
ENSG00000006015,C19orf60,-0.626722437,-3.303267966,0.002202841
ENSG00000006016,CRLF1,0.854386912,1.255344168,0.217632093
ENSG00000006025,OSBPL7,0.725723891,1.346499967,0.186756806
ENSG00000006042,TMEM98,0.171566764,0.170207571,0.865822409
ENSG00000006062,MAP3K14,-0.045483613,-0.049640738,0.960689576
ENSG00000006071,ABCC8,-0.54706262,-0.67605148,0.503430344
ENSG00000006125,AP2B1,0.663369097,2.272839706,0.029254012
ENSG00000006194,ZNF263,0.584712611,1.099989515,0.278810256
ENSG00000006282,SPATA20,0.492655127,2.063807516,0.04647641
ENSG00000006327,TNFRSF12A,2.017735304,2.536547952,0.01578721
ENSG00000006432,MAP3K9,-1.051613965,-0.827051223,0.413785226
ENSG00000006451,RALA,-0.344421708,-1.68320953,0.101193766
ENSG00000006453,BAIAP2L1,-1.274176363,-1.633643879,0.111256697
ENSG00000006459,KDM7A,0.009039696,0.02847178,0.977446851
ENSG00000006468,ETV1,-1.757006936,-1.547947,0.130588848
ENSG00000006530,AGK,2.119059566,5.539590996,3.08E-06
ENSG00000006534,ALDH3B1,8.909921423,7.658802811,5.34E-09
ENSG00000006555,TTC22,1.427323133,2.414635101,0.021088173
ENSG00000006576,PHTF2,-0.998426209,-2.192752619,0.035030098
ENSG00000006607,FARP2,1.230698063,2.282765589,0.028601108
ENSG00000006625,GGCT,0.206423633,0.665196846,0.510264227
ENSG00000006634,DBF4,-0.225353896,-1.069589039,0.292091542
ENSG00000006638,TBXA2R,4.660371403,3.650744198,0.000842303
ENSG00000006652,IFRD1,0.304594543,1.528386803,0.135362823
