V1,V2
GO:0002250,IGHV4-31
GO:0002250,IGHV4-34
GO:0002250,IGHV4-39
GO:0002250,IGHV4-4
GO:0002250,IGHV4-59
GO:0002250,IGHV4-61
GO:0002250,IGHV5-10-1
GO:0002250,IGHV5-51
GO:0002250,IGHV6-1
GO:0002250,IGHV7-4-1
GO:0002250,IGHV7-81
GO:0002250,IGKC
GO:0002250,IGKJ1
GO:0002250,IGKV1-12
GO:0002250,IGKV1-13
GO:0002250,IGKV1-16
GO:0002250,IGKV1-17
GO:0002250,IGKV1-27
GO:0002250,IGKV1-39
GO:0002250,IGKV1-5
GO:0002250,IGKV1-6
GO:0002250,IGKV1-8
GO:0002250,IGKV1-9
GO:0002250,IGKV1D-12
GO:0002250,IGKV1D-13
GO:0002250,IGKV1D-17
GO:0002250,IGKV1D-33
GO:0002250,IGKV1D-39
GO:0002250,IGKV1D-43
GO:0002250,IGKV1D-8
GO:0002250,IGKV2-24
GO:0002250,IGKV2-28
GO:0002250,IGKV2-29
GO:0002250,IGKV2-30
GO:0002250,IGKV2-40
GO:0002250,IGKV2D-26
GO:0002250,IGKV2D-28
GO:0002250,IGKV2D-29
GO:0002250,IGKV2D-30
GO:0002250,IGKV3-15
GO:0002250,IGKV3-20
GO:0002250,IGKV3D-11
GO:0002250,IGKV3D-15
GO:0002250,IGKV3D-20
GO:0002250,IGKV3D-7
GO:0002250,IGKV4-1
GO:0002250,IGKV5-2
GO:0002250,IGKV6-21
GO:0002250,IGKV6D-21
GO:0002250,IGLC1
GO:0002250,IGLC2
GO:0002250,IGLC3
GO:0002250,IGLC6
GO:0002250,IGLC7
GO:0002250,IGLJ1
GO:0002250,IGLL1
GO:0002250,IGLL5
GO:0002250,IGLV1-36
GO:0002250,IGLV1-40
GO:0002250,IGLV1-44
GO:0002250,IGLV1-47
GO:0002250,IGLV1-51
GO:0002250,IGLV10-54
GO:0002250,IGLV2-11
GO:0002250,IGLV2-14
GO:0002250,IGLV2-18
GO:0002250,IGLV2-23
GO:0002250,IGLV2-8
GO:0002250,IGLV3-1
GO:0002250,IGLV3-10
GO:0002250,IGLV3-12
GO:0002250,IGLV3-16
GO:0002250,IGLV3-19
GO:0002250,IGLV3-21
GO:0002250,IGLV3-22
GO:0002250,IGLV3-25
GO:0002250,IGLV3-27
